lieu,N
Svalbard (Norvège),5
"Sydney, Agglomération de (N.-G. du S.)",5
Témiscouata (Québec),5
Terre du Milieu (Lieu imaginaire),5
Tirana (Albanie),5
Trinité (Île),5
Turkménistan,5
Val d'Aoste (Italie),5
"Val-Jalbert (Chambord, Québec)",5
Valence (Espagne),5
Valparaíso (Chili),5
Vaucluse (France),5
Vincennes (France),5
Vladivostok (Russie),5
Yaoundé (Cameroun),5
"13e arrondissement (Paris, France)",4
"14e arrondissement (Paris, France)",4
"19e arrondissement (Paris, France)",4
Abruzzes (Italie),4
Afrique australe,4
Amqui (Québec),4
Anciens pays communistes,4
Angoulême (France),4
Ankara (Turquie),4
Antilles françaises,4
Aragon (Espagne),4
"Aral, Mer d' (Ouzbékistan et Kazakhstan)",4
Ardenne,4
Aspen (Col.),4
Asturies (Espagne),4
Athos (Grèce),4
Atlantique Nord,4
"Atlantique, Côte de l'",4
Auxerre (France),4
Azerbaïdjan,4
Baie-d'Hudson (Québec),4
"Baïkal, Lac (Russie)",4
Bakou (Azerbaïdjan),4
"Baltique, Mer",4
Bas-Canada,4
Basilicate (Italie),4
"Belém (Pará, Brésil)",4
Belize,4
Bengale-Occidental (Inde),4
Bergame (Italie),4
Blois (France),4
"Bois de Boulogne (Paris, France)",4
Bois-Francs (Québec),4
Bonifacio (France),4
Boulogne-sur-Mer (France),4
Bré (Lieu imaginaire),4
Brossard (Québec),4
Cahors (France),4
Calvados (France),4
"Cap-Breton, Île du (N.-É.)",4
Carnac (France),4
"Caux, Pays de (France)",4
Cerbère (France),4
Chantilly (France),4
"Charlesbourg (Québec, Québec)",4
Chartres (France),4
Châteauguay (Québec),4
"Châteauroux (Indre, France)",4
Chengdu (Chine),4
Cher (France),4
Cheshire (Angleterre),4
Clichy (France),4
Colorado Springs (Col.),4
Comores (Archipel),4
Concarneau (France),4
"Coney Island (New York, N.Y.)",4
Congo belge,4
Córdoba (Argentine),4
Corinthe (Grèce),4
Corne de l'Afrique,4
Cornouaille (France),4
Costa Brava (Espagne),4
Costa del Sol (Espagne),4
Crimée (Ukraine),4
Cyclades (Grèce),4
Dauphiné (France),4
Delaware,4
Derbyshire (Angleterre),4
Dhrall (Lieu imaginaire),4
Dinan (France),4
Donbass (Ukraine et Russie),4
Donegal (Irlande : Comté),4
Douala (Cameroun),4
Douarnenez (France),4
Drancy (France),4
Dubrovnik (Croatie),4
Duluth (Minn.),4
El Paso (Tex.),4
Essonne (France),4
États arabes,4
États-Unis (Nouveau Sud-Ouest),4
Etna (Italie),4
Europe septentrionale,4
Euxémie (Lieu imaginaire),4
Fidji,4
Fleury-Mérogis (France),4
Forêt-Noire (Allemagne),4
Gdańsk (Pologne),4
Grande Canarie (Canaries),4
Grandes Plaines,4
Greenwich (Conn.),4
"Hague, Cap de la (France)",4
Hampshire (Angleterre),4
Hertfordshire (Angleterre),4
Hô Chi Minh-Ville (Viêt-nam),4
Hongkong,4
"Horn, Cap (Chili)",4
Huê (Viêt-nam),4
Ibiza (Espagne : Île),4
"Indien, Région de l'océan",4
Innsbruck (Autriche),4
İzmir (Turquie),4
Kahnawake (Québec : Réserve indienne),4
"Kerguelen, Îles",4
Kingston (Ont.),4
L'Assomption (Québec),4
La Baule-Escoublac (France),4
"La Défense (Hauts-de-Seine, France)",4
Lanzarote (Canaries),4
Le Chambon-sur-Lignon (France),4
Le Puy-en-Velay (France),4
Leïlan (Lieu imaginaire),4
"Léman, Région du lac (Suisse et France)",4
Lettonie,4
"Levant, Île du (France)",4
Lewis with Harris (Écosse),4
Lofoten (Norvège),4
Loire (France : Fleuve),4
Lombardie (Italie),4
Lübeck (Allemagne),4
Luxembourg,4
Madawaska (N.-B. : Comté),4
Madison (Wisc.),4
Magog (Québec),4
Málaga (Espagne),4
Malakoff (France),4
Mayence (Allemagne),4
Mayotte,4
Melilla (Espagne),4
"Ménilmontant (Paris, France)",4
Métis-sur-Mer (Québec),4
"Michigan, Région du lac",4
Millau (France),4
"Millevaches, Plateau de (France)",4
Minas Gerais (Brésil : État),4
Mirabel (Québec),4
Mississippi (Fleuve),4
"Mohave, Désert",4
"Mons (Hainaut, Belgique)",4
Montauk (N.Y.),4
Monterrey (Mexique),4
"Montmagny, Région de (Québec)",4
"Morbihan, Golfe du (France)",4
Natchez (Mississ.),4
Néguev (Israël),4
Neuchâtel (Suisse),4
Niagara Falls (Ont.),4
Norrköping (Suède),4
Occident,4
Öland (Suède),4
Old Orchard Beach (Maine),4
Oman,4
Ombrie (Italie),4
Orange (Calif. : Comté),4
Oxfordshire (Angleterre),4
Paimpol (France),4
Palo Alto (Calif.),4
"Paris, Agglomération de (France)",4
Pays de l'Union européenne,4
Pays musulmans,4
"Pelée, Montagne (Martinique)",4
"Persique, Région du golfe",4
Perth (Austr.-Occ.),4
"Petite-Bourgogne (Montréal, Québec)",4
"Pointe-au-Pic (La Malbaie, Québec)",4
"Pointe-aux-Trembles (Montréal, Québec)",4
Pont-Aven (France),4
Port Louis (Île Maurice),4
"Porto Alegre (Rio Grande do Sul, Brésil)",4
Provinces des Prairies,4
Pyongyang (Corée),4
Rangoon (Birmanie),4
Ravensbrück (Allemagne),4
Regina (Sask.),4
Région parisienne (France),4
Régions froides,4
Repentigny (Québec),4
Rhône (France),4
"Rochefort (Charente-Maritime, France)",4
Roussillon (France : Région),4
Route de la soie,4
"Royal, Mont (Québec)",4
"Rue Saint-Hubert (Montréal, Québec)",4
Sacramento (Calif.),4
Saint-Anaclet-de-Lessard (Québec),4
Saint-Élie-de-Caxton (Québec),4
Saint-Jean-de-Dieu (Québec),4
Saint-Jean-de-Luz (France),4
"Saint-Louis (Montréal, Québec)",4
"Saint-Rémi (Les Jardins-de-Napierville, Québec)",4
Saint-Rémy-de-Provence (France),4
Sainte-Agathe-des-Monts (Québec),4
Sainte-Luce (Québec),4
Saintonge (France),4
Salomon,4
Salzbourg (Autriche),4
Samarkand (Ouzbékistan),4
Santa Barbara (Calif.),4
Saragosse (Espagne),4
Sarasota (Flor.),4
Schefferville (Québec),4
Seine (France : Fleuve),4
Shropshire (Angleterre),4
Sinaï (Égypte),4
Six-Duchés (Lieu imaginaire),4
Soissons (France),4
"Somme, Baie de (France)",4
"Sonora, Désert de",4
Stuttgart (Allemagne),4
Suisse romande,4
Syracuse (Italie),4
Système solaire,4
Tamil Nadu (Inde),4
Tbilissi (République de Géorgie),4
Tessin (Suisse),4
Thèbes (Égypte : Ville ancienne),4
Thiers (France),4
Tripoli (Liban),4
Victoriaville (Québec),4
"Ville-Marie (Montréal, Québec)",4
Vinland,4
"Whidbey, Île (Wash.)",4
"Whitby (North Yorkshire, Angleterre)",4
Wiltshire (Angleterre),4
Yorkshire Dales (Angleterre),4
Yucatán (Péninsule),4
Zagreb (Croatie),4
"20e arrondissement (Paris, France)",3
Abitibi (Québec : Région),3
Abū Ẓabī (Émirats arabes unis),3
Aigues-Mortes (France),3
Aix-la-Chapelle (Allemagne),3
Algérie (Sud),3
Allemagne (République démocratique),3
"Allier, Vallée de l' (France)",3
Alpes du Sud (France),3
Alpes-Maritimes (France),3
Alsace-Lorraine (Allemagne),3
"Amalfitaine, Côte (Italie)",3
Amboise (France),3
Angleterre (Sud-Est),3
Argenteuil (France),3
Argonne (France),3
Arkestra (Lieu imaginaire),3
Armentières (France),3
"Arrée, Monts d' (France)",3
Asbestos (Québec),3
Assam (Inde),3
"Atacama, Désert d' (Chili)",3
Aubervilliers (France),3
Aude (France),3
Aurillac (France),3
Australie (Sud-Est),3
Avalon (Lieu imaginaire),3
"Baffin, Île de (Nunavut)",3
Baton Rouge (Louis.),3
Belfort (France),3
Bellechasse (Québec),3
Bengale (Inde),3
Berlin-Est (Allemagne),3
Bermudes,3
Berthierville (Québec),3
Béziers (France),3
Black River Falls (Wisc.),3
"Blanc, Mont (France)",3
Blankenberge (Belgique),3
Bonn (Allemagne),3
Brazzaville (Congo),3
Brême (Allemagne),3
Briançon (France),3
Burlington (Verm.),3
Cambrai (France),3
"Cap-à-l'Aigle (La Malbaie, Québec)",3
"Cap-aux-Oies (Les Éboulements, Québec)",3
Casamance (Sénégal),3
Cassaforte (Lieu imaginaire),3
"Cassin, Mont (Italie)",3
Catane (Italie),3
Ceylan,3
Chaco (Argentine),3
Chalon-sur-Saône (France),3
Chambéry (France),3
"Chamonix, Vallée de (France)",3
"Château Frontenac (Québec, Québec)",3
Chiapas (Mexique),3
Chibougamau (Québec),3
Chichén Itzá (Mexique : Site archéologique),3
"Chinatown (New York, N.Y.)",3
"Chinatown (San Francisco, Calif.)",3
Chisasibi (Québec),3
Cinque Terre (Italie),3
Clermont-L'Hérault (France),3
"Cod, Baie du cap (Mass.)",3
Cognac (France),3
Colchester (Angleterre),3
Collioure (France),3
Colombey-les-Deux-Églises (France),3
Côme (Italie),3
Contremont (Lieu imaginaire),3
Corfou (Grèce : Île),3
Cork (Irlande),3
Côte d'Émeraude (France),3
"Coudres, Île aux (Québec)",3
Courbevoie (France),3
Crémone (Italie),3
"Crozon, Presqu'île de (France)",3
Cuernavaca (Mexique),3
Curaçao (Antilles néerlandaises),3
Cuzco (Pérou),3
"Dallas, Agglomération de (Tex.)",3
Darjeeling (Inde),3
Deux-Sèvres (France),3
Dharmsāla (Inde),3
Donnacona (Québec),3
Douvres (Angleterre),3
Duhamel (Québec),3
Düsseldorf (Allemagne),3
"Égée, Mer",3
Émirats arabes unis,3
Empire islamique,3
Empire moghol,3
Est-Anglie (Angleterre),3
Étretat (France),3
Évian-les-Bains (France),3
Exmoor (Angleterre),3
"Faubourg Saint-Antoine (Paris, France)",3
Fécamp (France),3
Ferrare (Italie),3
Figeac (France),3
Flandre (France),3
Florida Keys (Flor.),3
France (Sud-Est),3
Fredericton (N.-B.),3
Fribourg (Suisse),3
"Frulken, Citadelle de (Lieu imaginaire)",3
"Fukushima (Fukushima, Japon)",3
Gérone (Espagne),3
"Ghetto de Łódź (Łódź, Pologne)",3
Glastonbury (Angleterre),3
Gobi (Mongolie et Chine),3
Godbout (Québec),3
"Grands Lacs, Région des (Amérique du Nord)",3
Grisons (Suisse),3
Grosse-Île (Québec),3
Guérande (France),3
Guéret (France),3
Guinée-Bissau,3
Gurs (France),3
Hälsingborg (Suède),3
Hamar (Norvège),3
"Hampstead (Londres, Angleterre)",3
Haute-Gatineau (Québec),3
Hautefaye (France),3
Hautes Fagnes (Belgique et Allemagne),3
Hautes-Pyrénées (France),3
Hokkaidō (Japon),3
Honfleur (France),3
Honolulu (Hawaii),3
Hudson (N.Y. et N.J. : Fleuve),3
Hudson (Québec),3
Huronie (Ont.),3
Île-de-Sein (France),3
Indianapolis (Ind.),3
Iona (Écosse),3
Iqaluit (Nunavut),3
Ithaque (Grèce : Île),3
"Jaffa (Tel-Aviv, Israël)",3
"James, Région de la baie",3
Jammu-et-Cachemire (Inde),3
Jersey (Îles Anglo-Normandes),3
"Jérusalem (Royaume latin, 1099-1244)",3
Jura (Écosse),3
Kansas City (Missouri),3
Karāchi (Pākistān),3
Kerry (Irlande),3
Khartoum (Soudan),3
Kiruna (Suède),3
Kuala Lumpur (Malaisie),3
L'Île-Perrot (Québec),3
"L'Isle-aux-Grues, Archipel de (Québec)",3
L'Isle-Verte (Québec),3
La Chaise-Dieu (France),3
La Chaux-de-Fonds (Suisse),3
La Haute-Gaspésie (Québec),3
La Vallée-du-Richelieu (Québec),3
Lampedusa (Italie : Île),3
Lappi (Finlande),3
Larvik (Norvège),3
"Lascaux, Grotte de (France)",3
Le Mans (France),3
"Le Sud-Ouest (Montréal, Québec)",3
Les Laurentides (Québec),3
Les Sables-d'Olonne (France),3
Lincolnshire (Angleterre),3
Little Rock (Ark.),3
Livourne (Italie),3
Loir-et-Cher (France),3
"Lot, Vallée du (France)",3
Loudun (France),3
Louisbourg (N.-É.),3
Lur (Lieu imaginaire),3
"Lyon, Région de (France)",3
"Madison, Bassin de la (Wyom. et Mont.)",3
"Madre, Sierras (Mexique)",3
Maine-et-Loire (France),3
Manawan (Québec : Réserve indienne),3
Manche (Mer),3
Maniwaki (Québec),3
Manosque (France),3
"Matawin, Région de la (Québec)",3
Maures (France),3
Memramcook (N.-B.),3
Menton (France),3
Mercure (Planète),3
Meurthe-et-Moselle (France),3
"Mexique, Côte du Golfe du (Mississ.)",3
Minsk (Biélorussie),3
"Miramichi, Région de la (N.-B.)",3
"Montauban (Tarn-et-Garonne, France)",3
Montréal-Est (Québec),3
Mossoul (Irak),3
Nashville (Tenn.),3
Navarre (Espagne),3
Neuville (Québec),3
"Nevada, Sierra (Calif. et Nev.)",3
Nevers (France),3
Newport (R.I.),3
Niagara Falls (N.Y.),3
Niceville (Lieu imaginaire),3
Ningxia (Chine : Région autonome),3
Ninive (Ville ancienne),3
North Bay (Ont.),3
Northampton (Angleterre),3
"Notre-Dame-de-Grâce (Montréal, Québec)",3
Notre-Dame-des-Landes (France),3
Oka (Québec),3
Okinawa (Japon : Île),3
Olympe (Grèce),3
Omale (Lieu imaginaire),3
Orient latin,3
Ōsaka (Japon),3
"Ottawa, Région d' (Ont.)",3
Oulan-Bator (Mongolie),3
Ourouk (Ville ancienne),3
Pampelune (Espagne),3
"Pâques, Île de",3
Pays en voie de développement,3
Perche (France),3
Pern (Lieu imaginaire),3
Peterborough (Angleterre),3
"Petite Italie (Montréal, Québec)",3
"Petite Patrie (Montréal, Québec)",3
Petrograd (Russie),3
Pise (Italie),3
Pointe-à-Pitre (Guadeloupe),3
Pointe-Claire (Québec),3
"Pointe-Saint-Charles (Montréal, Québec)",3
Pompéi (Italie),3
"Pont Jacques-Cartier (Montréal, Québec)",3
Portneuf (Québec),3
Provence-Alpes-Côte d'Azur (France),3
Prusse (Allemagne),3
Prusse orientale,3
Puerto Vallarta (Mexique),3
Québec (Nord-Ouest),3
Quercy (France),3
"Quiberon, Presqu'île de (France)",3
Qumrān (Cisjordanie : Site archéologique),3
République centrafricaine,3
"Rhône, Vallée du (Suisse et France)",3
"Richelieu, Rivière (N.Y. et Verm.-Québec)",3
Riviera (Italie),3
Rougemont (Québec),3
Royaume de Juniper (Lieu imaginaire),3
Saguenay (Québec : Région),3
Sahara occidental,3
Saint Empire romain germanique,3
Saint-Anselme (Québec),3
Saint-Calixte (Québec),3
Saint-Colomban (Québec),3
"Saint-Denis (La Vallée-du-Richelieu, Québec : Municipalité de paroisse)",3
Saint-Émilion (France),3
Saint-Ferdinand (Québec),3
Saint-Irénée (Québec),3
Saint-Jean-du-Gard (France),3
"Saint-Lambert (Longueuil, Québec)",3
Saint-Léon (Lieu imaginaire),3
"Saint-Louis, Île (Île-de-France, France)",3
Saint-Martin (Antilles),3
Saint-Ours (Québec),3
Saint-Pierre (Martinique),3
"Saint-Pierre, Lac (Québec)",3
Saint-Roch-de-Richelieu (Québec),3
Sainte-Anne-de-Bellevue (Québec),3
Sainte-Anne-des-Monts (Québec),3
Sainte-Croix (Québec),3
Sainte-Flavie (Québec),3
"Sainte-Foy (Québec, Québec)",3
San Carlos de Bariloche (Argentine),3
"San Francisco, Région de la baie de (Calif.)",3
San Gimignano (Italie),3
Santorin (Grèce),3
"Scarborough (Toronto, Ont.)",3
Sedan (France),3
Sens (France),3
Sertão (Brésil : Région),3
Shaanxi (Chine),3
Shandong (Chine),3
Silésie,3
"Sillery (Québec, Québec)",3
Skolian Empire (Lieu imaginaire),3
"Soho (New York, N.Y.)",3
"Sorel, Îles de (Québec)",3
Sparte (Ville ancienne),3
Spokane (Wash.),3
Srebreniča (Bosnie-Herzégovine),3
"St. Boniface (Winnipeg, Man.)",3
Stalingrad (Russie),3
Stanleyville (Congo),3
Stavanger (Norvège),3
Stonehenge (Angleterre),3
Stromboli (Italie),3
Suisse alémanique,3
Sumatra (Indonésie),3
Syracuse (N.Y.),3
Tamise (Angleterre : Fleuve),3
Ténéré (Niger et Algérie),3
"Terezín (Severočeský, République tchèque)",3
"Terre-Neuve, Grand-Banc de",3
Territoire-du-Nouveau-Québec (Québec),3
Thetford Mines (Québec),3
"Tibet, Plateau du",3
"Tijuana (Basse-Californie, Mexique)",3
Tingwick (Québec),3
Tipperary (Irlande),3
Tolède (Espagne),3
"Tortue, Île de la (Haïti)",3
"Tracadie (Tracadie-Sheila, N.-B.)",3
Transvaal (Afrique du Sud),3
Trentin-Haut-Adige (Italie),3
Trondheim (Norvège),3
Trouville-sur-Mer (France),3
Troyes (France),3
Turku (Finlande),3
Tyrol (Autriche),3
"Ungava, Région de la baie d' (Québec)",3
Val de Loire (France),3
Val-d'Oise (France),3
Val-de-Marne (France),3
Valcourt (Québec),3
Valdemar (Lieu imaginaire),3
Valenciennes (France),3
Vallée des Rois (Égypte),3
Vannes (France),3
Vanuatu,3
"Venice (Los Angeles, Calif.)",3
Ventoux (France),3
Victoria (C.-B.),3
Vienne (France),3
Ville-d'Avray (France),3
Westport (Conn.),3
Wethrïn (Lieu imaginaire),3
Whistler (C.-B.),3
"Whitechapel (Londres, Angleterre)",3
Winchester (Angleterre),3
Worcestershire (Angleterre),3
Yamachiche (Québec),3
Yellowstone National Park,3
"Yihe Yuan (Pékin, Chine)",3
Yonne (France),3
Ystad (Suède),3
Zaïre,3
Zambie,3
"11e arrondissement (Paris, France)",2
"15e arrondissement (Paris, France)",2
"7e arrondissement (Paris, France)",2
Aberdeenshire (Écosse),2
Accra (Ghāna),2
"Aden, Golfe d'",2
Adriatique,2
Afrique francophone,2
Agadir (Maroc),2
Āgra (Inde),2
"Agriates, Désert des (France)",2
Ahmadābād (Inde),2
Aisne (France),2
Alang (Inde),2
Albany (N.Y.),2
Albi (France),2
Alès (France),2
"Alhambra (Grenade, Espagne)",2
Alicante (Espagne),2
Allemagne (Ouest),2
Allemagne (République fédérale),2
Almería (Espagne),2
Alpes allemandes (Allemagne),2
Alpes autrichiennes (Autriche),2
Amazonas (Venezuela),2
Amazonie péruvienne (Pérou),2
Ananké (Lieu imaginaire),2
"Andaman, Îles (Inde)",2
Andorre,2
Anglesey (Pays de Galles),2
Ann Arbor (Mich.),2
Annam (Viêt-nam),2
Annapolis Royal (N.-É.),2
"Annecy, Lac d' (France)",2
Ansalonie (Lieu imaginaire),2
"Antibes, Cap d' (France)",2
Antigua,2
Antilles britanniques,2
Antioche (Turquie),2
Apennin (Italie),2
Aquatica (Lieu imaginaire),2
"Ararat, Mont (Turquie)",2
"Arctique, Archipel (Nunavut et T.N.-O.)",2
Armorique (France),2
"Ashapmushuan, Rivière (Québec)",2
Atacama (Chili : Province),2
Atlantique Sud,2
"Atlantique, Côte de l' (Afrique)",2
Auckland (Nouvelle-Zélande),2
Augsbourg (Allemagne),2
Austrion (Lieu imaginaire),2
"Auteuil (Paris, France)",2
Auvers-sur-Oise (France),2
Avesnois (France),2
Ayacucho (Pérou),2
Bahreïn,2
Baie-Comeau (Québec),2
Baie-des-Sables (Québec),2
Baie-Trinité (Québec),2
Bakersfield (Calif.),2
Bangui (République centrafricaine),2
Bar-le-Duc (France),2
Barbizon (France),2
Basse-Normandie (France),2
Basse-Saxe (Allemagne),2
Basses-Laurentides (Québec),2
Bastogne (Belgique),2
"Batignolles (Paris, France)",2
"Batiscan, Rivière (Québec)",2
Bayreuth (Allemagne),2
Beachwood Bay (Lieu imaginaire),2
Beauharnois (Québec),2
Beaune (France),2
Bécancour (Québec : Municipalité régionale de comté),2
Bellagio (Italie),2
"Bercy (Paris, France)",2
Berkshire (Angleterre),2
"Berkshire, Collines (Mass.)",2
Berlin-Ouest (Allemagne),2
"Bermudes, Triangle des",2
Berthier-sur-Mer (Québec),2
Bhopāl (Inde),2
Bibracte (Ville ancienne),2
"Bighorn, Monts (Wyom. et Mont.)",2
Birmingham (Alab.),2
Black Hills (Dak. du S. et Wyom.),2
Blainville (Québec),2
Blanc-Sablon (Québec),2
Bloomington (Ind.),2
Bois-le-Duc (Pays-Bas),2
Boise (Idaho),2
Bonaventure (Québec),2
Bora Bora (Polynésie française),2
Bornholm (Danemark),2
"Boston, Banlieue de (Mass.)",2
Botany (Lieu imaginaire),2
Bougainville (Papouasie-Nouvelle-Guinée),2
"Boulevard Barbès (Paris, France)",2
Brabant (Belgique),2
Brabant wallon (Belgique),2
"Broadway (New York, N.Y.)",2
Bucovine (Roumanie et Ukraine),2
Buenos Aires (Argentine : Province),2
"Burgdorf (Hanovre, Allemagne)",2
Byblos (Ville ancienne),2
Cabinda (Angola : Province),2
Cagliari (Italie),2
"Caire, Agglomération du (Égypte)",2
Calanques (France),2
Caledonia Springs (Ont.),2
Cali (Colombie),2
Cambridgeshire (Angleterre),2
Camelot (Lieu imaginaire),2
Campine (Belgique et Pays-Bas),2
Canada (Est),2
Cancale (France),2
Cantabrie (Espagne),2
Canterbury (Angleterre),2
Cap-Haïtien (Haïti),2
Capharnaüm (Ville ancienne),2
Caplan (Québec),2
"Carcassonne, Région de (France)",2
Carinthie (Autriche),2
Carpentras (France),2
Carrare (Italie),2
Caux (France),2
Centre (France),2
Cerdagne (Espagne et France),2
Céret (France),2
Cervin (Suisse et Italie),2
Charleroi (Belgique),2
Charleston (Missouri),2
Chattanooga (Tenn.),2
"Cheju, Île (Corée)",2
"Chesapeake, Baie de (Mar. et Virg.)",2
"Chevreuse, Vallée de (France)",2
"Chicago, Région de (Ill.)",2
"Chicoutimi-Nord (Saguenay, Québec)",2
"Chihuahua, Désert du",2
Chiloé (Chili : Île),2
Chișinău (Moldavie),2
Cholet (France),2
Chrysanthe (Lieu imaginaire),2
"Cité, Île de la (France)",2
Clamart (France),2
"Clarée, Vallée de la (France)",2
Clichy-sous-Bois (France),2
Cluny (France),2
Cóbh (Irlande),2
Cochinchine (Viêt-nam),2
Colmar (France),2
Colombo (Sri Lanka),2
Comtat Venaissin (France),2
Conakry (Guinée),2
Congo (Royaume),2
Congo-Brazzaville,2
Connemara (Irlande),2
Cotonou (Bénin),2
Cozumel (Mexique : Île),2
"Creuse (Somme, France)",2
Crotone (Italie),2
Dachau (Allemagne),2
Daghestan (Russie),2
Dalmatie (Croatie),2
"Danube, Delta du (Roumanie et Ukraine)",2
Dartmoor (Angleterre),2
Dawson (Yukon),2
Daytona Beach (Flor.),2
Deerfield (Mass.),2
Delft (Pays-Bas),2
Delphes (Grèce),2
Delphes (Ville ancienne),2
"Delta, Région du (Mississ.)",2
Derby (Conn.),2
"Deux Montagnes, Lac des (Deux-Montagnes, Québec)",2
Diego Garcia (British Indian Ocean Territory),2
"Disneyland Paris (Marne-la-Vallée, France)",2
District of Columbia,2
Dobroudja (Roumanie et Bulgarie),2
Dombes (France),2
Donegal (Irlande),2
Doubs (France),2
"Downtown Eastside (Vancouver, C.-B.)",2
Drummond (Québec),2
Dunois (France),2
Durban (Afrique du Sud),2
"East Harlem (New York, N.Y.)",2
"Égée, Région de la mer",2
Ekumen (Lieu imaginaire),2
Elda (Lieu imaginaire),2
"Ellesmere, Île d' (Nunavut)",2
Entre Ríos (Argentine),2
"Éoliennes, Îles (Italie)",2
Épernay (France),2
Éphèse (Ville ancienne),2
Erevan (Arménie),2
Espace extra-atmosphériqueExploration,2
Estoril (Portugal),2
États du golfe Persique,2
Europe de l'Ouest,2
Farnham (Québec),2
Fermont (Québec),2
"Ferret, Cap (France)",2
Finlande (Nord),2
Fontainebleau (France),2
Forez (France),2
"Forillon, Presqu'île de (Québec)",2
Fort Chouaguen (N.Y.),2
Fort Lauderdale (Flor.),2
"Fort Rouillé (Toronto, Ont.)",2
France (Centre),2
France (Ouest),2
FranceHistoire1789-1799 (Révolution),2
"Fresnes (Val-de-Marne, France)",2
Fribourg-en-Brisgau (Allemagne),2
Frioul (Italie),2
Frise orientale (Allemagne),2
Fuerteventura (Canaries),2
Gagetown (N.-B.),2
Gaïa (Lieu imaginaire),2
Gaillac (France),2
Galveston (Tex.),2
Gand (Belgique),2
Garmisch-Partenkirchen (Allemagne),2
"Garonne, Région de la (Espagne et France)",2
"Gatineau, Rivière (Québec)",2
Gaza,2
"Géorgienne, Baie (Ont.)",2
Germanie,2
Gibraltar,2
Gloucester (Angleterre),2
Gold Coast (Queensl.),2
Grand Canyon (Ariz.),2
Grand Pré (N.-É.),2
"Grand-Lieu, Lac de (France)",2
"Grande-Chartreuse, Massif de la (France)",2
Grande-Vallée (Québec),2
Grandes-Piles (Québec),2
"Greenwich (Londres, Angleterre)",2
"Greenwich Village (New York, N.Y.)",2
Grenade (Royaume),2
"Grosse-Île (Saint-Antoine-de-l'Isle-aux-Grues, Québec)",2
Guadalajara (Mexique),2
Guinée équatoriale,2
"Guinée, Golfe de",2
Guyane britannique,2
"Ha! Ha!, Baie des (Saguenay, Québec)",2
Hackensack (N.J.),2
"Hackney (Londres, Angleterre)",2
Hagfors (Suède),2
"Hambourg, Région de (Allemagne)",2
Hamilton (Ont.),2
Harare (Zimbabwe),2
Harbin (Chine),2
Hārer (Éthiopie),2
Harrogate (Angleterre),2
Haut-Quercy (France),2
Haut-Rhin (France),2
Haute-Marne (France),2
Hauterives (France),2
Hautes-Laurentides (Québec),2
Hauts-de-Seine (France),2
Hauts-Royaumes (Lieu imaginaire),2
Haven (Lieu imaginaire),2
Hébertville (Québec),2
Helsingør (Danemark),2
Hémisphère sud,2
Hesse (Allemagne),2
Hoggar (Algérie),2
"Hudson, Vallée de l' (N.Y. et N.J.)",2
Hull (Angleterre),2
Hunan (Chine),2
Hyères (France),2
ʻAmmān (Jordanie),2
Iaşi (Roumanie),2
Île d'Orléans (Québec : Seigneurie),2
Ile-d'Aix (France),2
Île-d'Arz (France),2
Île-de-Bréhat (France),2
Inde (Sud),2
Indes néerlandaises,2
Indre-et-Loire (France),2
Inverness (Québec),2
"Ioniennes, Îles (Grèce)",2
Ischia (Italie : Île),2
Ispahan (Iran),2
Jackson Hole (Wyom.),2
Jaipur (Inde),2
"Jardin du Luxembourg (Paris, France)",2
Jéricho,2
Jiangxi (Chine),2
K2 (Pākistān),2
"Kalahari, Désert du",2
"Kaliningrad (Kaliningrad, Russie)",2
Kamakura (Japon),2
"Kamouraska, Région de (Québec)",2
Kamtchatka (Russie : Presqu'île),2
Kanesatake (Québec : Réserve indienne),2
Kansas City (Kansas),2
Kapuskasing (Ont.),2
"Kensington (Londres, Angleterre)",2
Kigali (Rwanda),2
Kiribati,2
Kirkūk (Irak),2
"Klondike, Vallée du (Yukon)",2
Kōbe (Japon),2
Krasnoïarsk (Russie),2
Kuujjuaq (Québec),2
L'Anse-Saint-Jean (Québec),2
L'Île-d'Yeu (France),2
La Ciotat (France),2
La Courneuve (France),2
La Crosse (Wisc.),2
La Grande-Motte (France),2
"La Napoule (Mandelieu-la-Napoule, France)",2
La Reine (Québec),2
La Sarre (Québec),2
La Seyne-sur-Mer (France),2
Lac-au-Saumon (Québec),2
"Lac-Brûlé (Sainte-Agathe-des-Monts, Québec)",2
Lac-Édouard (Québec),2
Laguna Beach (Calif.),2
Lampedusa (Italie),2
Laon (France),2
"Laurentides, Les (Québec)",2
"Laval-des-Rapides (Laval, Québec)",2
Lavaux (Suisse),2
"Le Bic (Rimouski, Québec)",2
Le Continent-Coloré (Lieu imaginaire),2
Le Lavandou (France),2
Le Touquet-Paris-Plage (France),2
Leicester (Angleterre),2
Les Escoumins (Québec),2
Les Hauteurs (Québec),2
Les Pays-d'en-Haut (Québec),2
Levallois-Perret (France),2
Limbes (Lieu imaginaire),2
Limbourg (Pays-Bas),2
"Little Italy (Manhattan, New York, N.Y.)",2
Ljubljana (Slovénie),2
Loches (France),2
Locronan (France),2
"Loire, Bassin de la (France)",2
"Londres, Agglomération de (Angleterre)",2
"Londres, Banlieue de (Angleterre)",2
Longwor (Lieu imaginaire),2
Lorraine (Duché),2
Los Angeles (Calif. : Comté),2
Lubumbashi (Congo),2
Lucerne (Suisse),2
Lunéville (France),2
Lvov (Ukraine),2
Lydie (Royaume),2
